Symbol,Name,Sector,Price,Dividend Yield,Price/Earnings,Earnings/Share,Book Value,52 week low,52 week high,Market Cap,EBITDA,Price/Sales,Price/Book,SEC Filings
UHS,"Universal Health Services, Inc.",Health Care,112.00,0.36,15.77,7.10,45.33,100.82,139.77,10.86,1.70,1.14,2.48,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UHS
UNM,Unum Group,Financials,43.60,1.87,11.44,3.81,40.33,23.99,44.48,10.12,1.56,0.93,1.09,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=UNM
URBN,Urban Outfitters,Consumer Discretionary,34.10,,17.72,1.92,10.73,20.06,40.80,3.96,0.49715,1.16,3.29,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=URBN
VFC,V.F. Corp.,Consumer Discretionary,56.60,2.97,21.49,2.63,11.78,51.76,67.10,23.42,2.01,1.91,4.85,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VFC
VLO,Valero Energy,Energy,67.92,3.71,14.40,4.72,44.89,46.88,72.70,30.74,5.59,0.42,1.52,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VLO
VAR,Varian Medical Systems,Health Care,91.32,0.00,21.79,4.19,18.58,73.18,106.70,8.53,0.6558999999999999,2.63,4.87,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VAR
VTR,Ventas Inc,Financials,62.57,4.87,37.90,1.65,29.65,46.87,76.80,22.16,1.79,6.50,2.11,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VTR
VRSN,Verisign Inc.,Information Technology,82.34,0.00,24.67,3.34,-11.13,70.26,91.99,8.61,0.73514,7.56,,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSN
VRSK,Verisk Analytics,Industrials,82.99,,23.92,3.47,8.77,64.79,86.00,13.90,1.03,6.13,9.49,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRSK
VZ,Verizon Communications,Telecommunications Services,51.5325,4.5000,15.0197,3.4310,5.0190,43.7900,56.9500,210.08,44.76,1.6298,10.1873,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VZ
VRTX,Vertex Pharmaceuticals Inc,Health Care,76.8099,,,-0.9020,4.1190,73.3050,129.1800,19.05,0.05175,11.5283,18.7473,http://www.sec.gov/cgi-bin/browse-edgar?action=getcompany&CIK=VRTX
